[2023-03-28 16:38:41,986 test_registrasi_Loop.py->test_1_setupOS()]==>INFO: Setup Os
[2023-03-28 16:38:47,626 test_registrasi_Loop.py->test_2_login()]==>INFO: Login
[2023-03-28 16:38:51,832 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Akses Menu Registrasi
[2023-03-28 16:38:53,938 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Button Registrasi
[2023-03-28 16:38:59,434 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Button Jenis Registrasi B1
[2023-03-28 16:38:59,606 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input nomor registrasi wbp
[2023-03-28 16:39:01,059 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Pilih Data Registrasi
[2023-03-28 16:39:01,077 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Button search
[2023-03-28 16:39:03,122 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: close Pop Up
[2023-03-28 16:39:03,509 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input no registrasi 
[2023-03-28 16:39:03,623 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal surat 
[2023-03-28 16:39:03,744 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nomor surat penahanan
[2023-03-28 16:39:03,792 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nama petugas
[2023-03-28 16:39:04,519 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Pilih Kejaksaan
[2023-03-28 16:39:04,684 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: pilih asal instansi
[2023-03-28 16:39:05,549 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: pilih instansi penyidik
[2023-03-28 16:39:05,620 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input lokasi dokumen
[2023-03-28 16:39:05,681 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input asal tahanan
[2023-03-28 16:39:05,753 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input asal kepolisian
[2023-03-28 16:39:05,839 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal penangkapan
[2023-03-28 16:39:05,923 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal BA 8
[2023-03-28 16:39:06,006 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal menjalani putusan akhir
[2023-03-28 16:39:06,147 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input jenis putusan
[2023-03-28 16:39:07,042 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: tanggal menjalani pencaputan PB
[2023-03-28 16:39:07,410 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input kejahatan utama
[2023-03-28 16:39:07,492 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pasal utama
[2023-03-28 16:39:07,916 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input Kejahatan
[2023-03-28 16:39:07,971 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tempat kejadian
[2023-03-28 16:39:08,015 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: pilih jenis putusan
[2023-03-28 16:39:08,074 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal putusan akhir
[2023-03-28 16:39:09,009 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nomor putusan 
[2023-03-28 16:39:09,082 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pasal
[2023-03-28 16:39:09,918 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input nama hakim ketua
[2023-03-28 16:39:09,988 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input hakim anggota 1
[2023-03-28 16:39:10,865 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input hakim anggota 2
