[2023-03-28 21:25:40,930 test_p2uExternal_Fungsi.py->test_1_setupOS()]==>INFO: Setup Os
[2023-03-28 21:25:46,417 test_p2uExternal_Fungsi.py->test_2_login()]==>INFO: Login
[2023-03-28 21:25:50,509 test_p2uExternal_Fungsi.py->test_3_Input()]==>INFO: Akses halaman Daftar Lalu Lintas P2U External
[2023-03-28 21:25:54,815 test_p2uExternal_Fungsi.py->test_3_ClickCreateButton()]==>INFO: masuk ke halaman daftar lalu lintas external
[2023-03-28 21:25:56,859 test_p2uExternal_Fungsi.py->test_3_ClickCreateButton()]==>INFO: masuk ke halaman tambah
[2023-03-28 21:25:58,318 test_p2uExternal_Fungsi.py->test_4_inputKategori()]==>INFO:  Memilih Kategori Tamu Dinas 
[2023-03-28 21:25:58,349 test_p2uExternal_Fungsi.py->test_4_inputKategori()]==>INFO:  Cari Nama atau Nip Kategori Tamu Dinas 
[2023-03-28 21:26:02,009 test_p2uExternal_Fungsi.py->test_5_ClickSubmitButton()]==>INFO: click button submit
[2023-03-28 21:26:34,113 test_p2uExternal_Fungsi.py->test_6_FilterDataSemua()]==>INFO: Katakunci Semua
[2023-03-28 21:26:38,418 test_p2uExternal_Fungsi.py->test_7_InputKatakunci()]==>INFO: Search Bedasarkan Nama Lengkap
[2023-03-28 21:26:38,740 test_p2uExternal_Fungsi.py->test_8_KlikFilterKonfirmBelumKeluar()]==>INFO: Clik Filter Belum Konfirmasi Keluar
[2023-03-28 21:26:52,257 test_p2uExternal_Fungsi.py->test_9_KlikDetailWbp()]==>INFO: Click Button Detail
