[2023-01-03 00:09:28,979 test_PortirUAT.py->test_2_login()]==>INFO: Login Operator
[2023-01-03 00:09:32,732 test_PortirUAT.py->test_PTR_001()]==>INFO: (Berhasil PTR-001) Berhasil menampilkan halaman Manajemen Portir
[2023-01-03 00:09:33,028 test_PortirUAT.py->test_PTR_002()]==>INFO: Klik Filter Column
[2023-01-03 00:09:41,536 test_PortirUAT.py->test_PTR_002()]==>INFO:  Memilih Dropdown Semua  
[2023-01-03 00:09:41,676 test_PortirUAT.py->test_PTR_002()]==>INFO:  Input kata kunci semua  
[2023-01-03 00:10:08,200 test_PortirUAT.py->test_PTR_002()]==>INFO: Ketik Status Keluar Kemanan
[2023-01-03 00:10:11,393 test_PortirUAT.py->test_PTR_002()]==>INFO: Memilih Status Keluar Kemanan
[2023-01-03 00:10:13,724 test_PortirUAT.py->test_PTR_002()]==>INFO: Klik Button Search
[2023-01-03 00:10:15,562 test_PortirUAT.py->test_PTR_002()]==>INFO: (Berhasil PTR-002) Berhasil menampilkan data sesuai dengan kategori yang dipilih pada dropdown di halaman Manajemen Portir
[2023-01-03 00:10:36,909 test_PortirUAT.py->test_PTR_002()]==>INFO: Klik Button Detile
[2023-01-03 00:10:42,988 test_PortirUAT.py->test_PTR_002()]==>INFO: (BERHASIL PTR-003) Berhasil menampilkan detail data identitas WBP 
[2023-01-03 00:11:25,081 test_PortirUAT.py->test_PTR_003()]==>INFO: Klik Button Konfirmasi Keluar Keamanan
[2023-01-03 00:12:00,978 test_PortirUAT.py->test_PTR_003()]==>INFO: Menampilkan alert berhasil kemudian mengubah status portir WBP di halaman Manajemen Portir menjadi “Keluar Portir”
[2023-01-03 00:12:15,043 test_PortirUAT.py->test_PTR_004()]==>INFO: Klik Filter Kolom
[2023-01-03 00:12:15,683 test_PortirUAT.py->test_PTR_004()]==>INFO:  Memilih Dropdown Semua  
[2023-01-03 00:12:15,855 test_PortirUAT.py->test_PTR_004()]==>INFO:  Input kata kunci semua  
[2023-01-03 00:12:16,972 test_PortirUAT.py->test_PTR_004()]==>INFO: Klik Filter Status
[2023-01-03 00:12:17,042 test_PortirUAT.py->test_PTR_004()]==>INFO: Memilih Status Keluar Portir
[2023-01-03 00:12:27,287 test_PortirUAT.py->test_PTR_004()]==>INFO: Klik Button Search
[2023-01-03 00:12:31,172 test_PortirUAT.py->test_PTR_004()]==>INFO: (Berhasil PTR-002) Berhasil menampilkan data sesuai dengan kategori yang dipilih pada dropdown di halaman Manajemen Portir
[2023-01-03 00:12:39,194 test_PortirUAT.py->test_PTR_004()]==>INFO: Klik Button Detail
[2023-01-03 00:13:34,546 test_PortirUAT.py->test_PTR_004()]==>INFO: Klik Button Konfirmasi masuk
[2023-01-03 00:14:44,034 test_PortirUAT.py->test_PTR_004()]==>INFO: Menampilkan alert berhasil kemudian mengubah status portir WBP di halaman Manajemen Portir menjadi “Masuk Portir”
[2023-01-03 00:15:18,514 test_PortirUAT.py->test_PTR_005()]==>INFO: Memilih Filter Status Column
[2023-01-03 00:15:20,399 test_PortirUAT.py->test_PTR_005()]==>INFO:  Memilih Dropdown Semua  
[2023-01-03 00:15:20,554 test_PortirUAT.py->test_PTR_005()]==>INFO:  Input kata kunci semua  
[2023-01-03 00:15:37,044 test_PortirUAT.py->test_PTR_005()]==>INFO: Memilih Status Masuk Portir
[2023-01-03 00:15:52,503 test_PortirUAT.py->test_PTR_005()]==>INFO: Klik Button Search
[2023-01-03 00:15:52,503 test_PortirUAT.py->test_PTR_005()]==>INFO: (Berhasil PTR-006)/ Berhasil menampilkan data portir dan riwayat portir WBP yang dipilih dengan sesuai
[2023-01-03 00:16:10,400 test_PortirUAT.py->test_PTR_005()]==>INFO: Click Button Detile
[2023-01-03 00:17:03,187 test_PortirUAT.py->test_PTR_005()]==>INFO: (BERHASIL PTR-006) Berhasil menampilkan detail data identitas WBP 
[2023-01-03 00:17:43,712 test_PortirUAT.py->test_PTR_006()]==>INFO: (PTR-006) / Mencetak data portir sesuai dengan total halaman yang dipilih dengan format Excel (.xlsx) kemudian tampil alert berhasil
[2023-01-03 00:18:04,855 test_PortirUAT.py->test_PTR_007()]==>INFO: (PTR-11) / Mencetak data portir sesuai dengan total halaman yang dipilih dengan format PDF (.pdf) kemudian tampil alert berhasil
[2023-01-03 00:18:20,809 test_PortirUAT.py->test_PTR_008()]==>INFO: (PTR-012) / Menampilkan halaman preview lalu setelah berhasil mencetak data, tampil alert berhasil
