[2022-12-12 09:55:03,194 test_1_SetupOS()]==>INFO: Login
[2022-12-12 09:55:04,023 test_2_Login()]==>INFO: Login
[2022-12-12 09:55:07,691 test_3_AksesMenu_ManajemenBlokDanKamar()]==>INFO: akses menu Manajemen Blok Dan Kamar
[2022-12-12 09:55:15,734 test_4_ClickButtonTambah_PemetaanBlock()]==>INFO: Click Button Tambah halaman Pemetaan Block
[2022-12-12 09:55:16,542 test_5_ClickButtonTambah_MasterBlokDanKamar()]==>INFO: Click Button Tambah Master Blok Dan Kamar
[2022-12-12 09:55:17,718 test_6_InputNamaBlok()]==>INFO: Input Nama Blok
[2022-12-12 09:55:18,802 test_7_InputTipeBlok()]==>INFO: Input Tipe Blok Umum
[2022-12-12 09:55:20,728 test_8_JenisKelaminBlok()]==>INFO: Input Blok Untuk Jenis Kelamin Laki Laki
[2022-12-12 09:55:22,104 test_9_JenisKejahatan()]==>INFO: Input untuk Jenis kejahatan Korupsi
[2022-12-12 09:55:22,377 test_10_JumlahLantai()]==>INFO: Input Jumlah Lantai
[2022-12-12 09:55:22,696 test_11_FormatPenomoranKamar()]==>INFO: Input Format Penomoran Kamar
[2022-12-12 09:55:23,027 test_12_Umur()]==>INFO: memilih kelompok usia Anak Anak
[2022-12-12 09:55:23,775 test_13_InputJumlahKamar()]==>INFO: Input Jumlah Kamar perlantai
[2022-12-12 09:55:24,119 test_14_InputNoKamar()]==>INFO: Input koridor
[2022-12-12 09:55:33,299 test_16_Submit()]==>INFO: Submit data blok 
[2022-12-12 09:55:59,133 test_17_JenisLantai()]==>INFO: Pilih Lantai yang akan di inputkan
[2022-12-12 09:55:59,416 test_18_InputNomorKamar()]==>INFO: Input Nomor Kamar
[2022-12-12 09:55:59,800 test_19_PeruntukanKelompokUsia()]==>INFO: memilih kelompok usia Anak Anak
[2022-12-12 09:56:00,634 test_20_JenisKelamin()]==>INFO: Input Blok Untuk Jenis Kelamin Laki Laki
[2022-12-12 09:56:01,499 test_21_TipeKamar()]==>INFO: Input Tipe Blok Umum
[2022-12-12 09:56:01,824 test_22_kelompokJenisKejahatan()]==>INFO: Input untuk Jenis kejahatan Korupsi
[2022-12-12 09:56:02,094 test_23_KapasitasInput()]==>INFO: Input Kapasitas Ruangan
[2022-12-12 09:56:02,410 test_24_KondisiRuangan()]==>INFO: Kondisi Ruangan Baik
[2022-12-12 09:56:02,655 test_25_LamaHuni()]==>INFO: Lama Huni
[2022-12-12 09:56:12,791 test_26_ButtonSubmit()]==>INFO: Submit
